,code,country,Film & Animation,Autos & Vehicles,Music,Pets & Animals,Sports,Travel & Events,Gaming,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Movies,Shows,Trailers
0,USA,United States,165997476.0,4245656.0,1416838349.0,19370702.0,95203801.0,4836246.0,68363715.0,186615999.0,216346746.0,530516491.0,18151033.0,162840781.0,49257772.0,82532638.0,0.0,1082639.0,0.0
1,FRA,France,37803350.0,11103679.0,75954495.0,2933437.0,73176854.0,1649829.0,21702865.0,100342157.0,80074771.0,166298519.0,70199798.0,36432231.0,14481173.0,12789500.0,283662.0,1245867.0,97.0
2,CAN,Canada,87009659.0,11112306.0,152516314.0,16964102.0,101079148.0,13629663.0,51534433.0,156766122.0,162198297.0,553675538.0,146311457.0,79125947.0,31812727.0,45678126.0,176819.0,4666200.0,0.0
3,DEU,Germany,52951463.0,14305886.0,50955014.0,5462963.0,52115938.0,2642780.0,38114877.0,126112982.0,62472315.0,343981538.0,66504785.0,37199947.0,14837624.0,16164006.0,10299.0,2000532.0,614.0
4,GBR,United Kingdom,365802590.0,9227997.0,2206453353.0,63888854.0,168561878.0,5317661.0,206102056.0,302969330.0,245686369.0,1293481578.0,123858920.0,155041365.0,28515988.0,40363712.0,0.0,2119852.0,0.0
